Lang Code	EN	ZH_CN
^OUTSIDE_TIP	You have left the space area of MR Calibration, please return to the calibration area to continue to complete the experience	你已经离开MR标定的空间区域，请返回标定区域内继续完成体验
^QUIT_APP	Exit Application	退出应用
^QUIT_TIP_INFO	Are you sure you want to quit the app?	确认要退出应用吗？
^CANCEL	Cancel	取消
^OK	OK	确定
^LOG_INFORMATION	Log information	日志信息
^MR_Demo	MR Demo	MR Demo
^DECORATE_ROOM	Decorate room	装饰房间
^WALL_GRAFFITI	Wall graffiti	墙面涂鸦
^MINI_GAME	Mini-game	小游戏
^VIRTUAL_WORLD	Virtual world	虚拟世界
^DEBUG	Debug	Debug
^THEME	Theme	主题
^CEILING	Ceiling	天花板
^WALL	Wall	墙面
^GROUND	Ground	地面
^DECORATION	Decoration	装饰品
^DOODLE_TOOL	Doodle tool	涂鸦工具
^QUIT	Quit	退出
^MINIMALISM	Minimalism	极简
^TEST_STYLE	Test style	测试风格
^STYLE_ONE	Style 1	风格1
^STYLE_TWO	Style 2	风格2
^TEST_STYLE_ONE	Test style 1	测试风格1
^TEST_STYLE_TWO	Test style 2	测试风格2
^TEST	Test	测试
^TEST_ONE	Test 1	测试1
^TEST_TWO	Test 2	测试2
^THEME_ONE	Theme 1	主题1
^THEME_TWO	Theme 2	主题2
^CEILING_ONE	Ceiling 1	天花板1
^CEILING_TWO	Ceiling 2	天花板2
^GROUND_ONE	Ground 1	地板1
^GROUND_TWO	Ground 2	地板2
^TENNIS	Tennis	网球
^VASE	Vase	花瓶
^GUN	Gun	枪
^MAGIC_STICK	Magic stick	魔法棒
^PEN	Pen	画笔
^ROLLER	Roller	滚筒
^BRUSH	Brush	刷子
^ERASER	Eraser	橡皮擦
^TENNIS_INFO	An elastic ball with gravity	有重力的弹性球
^VASE_INFO	Fragile props	易碎的道具
^GUN_INFO	Start shooting game	开启射击游戏
^MAGIC_STICK_INFO	Open the virtual world	开启虚拟世界
^PEN_INFO	A pen to doodle with	可以涂鸦的笔
^ROLLER_INFO	A roller that can doodle	可以涂鸦的滚筒
^BRUSH_INFO	A brush to doodle with	可以涂鸦的刷子
^ERASE_INFO	Erase graffiti	可以擦掉涂鸦
^WELCOME_INFO	Welcome to the new vision of MR	欢迎进入MR新视界
^ENTER_TIP_INFO	Put on Pico and open up new horizons for MR	戴上Pico, 开启MR新视界
^CLEAR_DATA	Clear data	清除数据
^CLEAR_ANCHOR_DATA	Clear the anchor topic data	清除锚点主题数据
